cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
12936037,890000000000,1192174063,04/03/2016,,29.99,1,29.99,,,"26,42,991",READY TO WEAR,MISSY TOTAL ACTIVE
10426819,706000000000,1204675827,5/31/2016,06/08/2016,20.7,1,20.7,1,20.7,"27,57,684",READY TO WEAR,CASUAL RTW
10426819,706000000000,1205460716,06/07/2016,6/13/2016,18.39,1,18.39,1,18.39,"27,57,684",READY TO WEAR,CASUAL RTW
12840118,646000000000,1207778796,6/18/2016,6/27/2016,29.99,1,29.99,1,29.99,"27,57,854",READY TO WEAR,CASUAL RTW
12840118,646000000000,1206534708,06/12/2016,,41.99,1,41.99,,,"27,57,854",READY TO WEAR,CASUAL RTW
11576868,190000000000,1360541661,12/31/2016,01/01/2017,69.99,1,69.99,1,69.99,"27,67,375",MENS & KIDS,TOTAL MENS
11576868,190000000000,1360332786,12/31/2016,,69.99,1,69.99,,,"27,67,375",MENS & KIDS,TOTAL MENS
11503675,888000000000,1243216272,9/17/2016,,33.19,1,33.19,,,"27,69,802",CENTER CORE,HANDBAGS & ACCESSORIES
11503675,888000000000,1231388868,8/25/2016,9/17/2016,47.2,1,47.2,1,47.2,"27,69,802",CENTER CORE,HANDBAGS & ACCESSORIES
10403794,608000000000,1198961683,4/29/2016,06/03/2016,12.72,1,12.72,1,12.72,"27,59,912",READY TO WEAR,MILLENNIAL/DENIM
10403794,608000000000,1198981840,4/29/2016,5/23/2016,12.72,2,25.44,2,25.44,"27,59,912",READY TO WEAR,MILLENNIAL/DENIM
10403794,608000000000,1198842156,4/29/2016,9/19/2016,12.72,2,25.44,1,12.72,"27,59,912",READY TO WEAR,MILLENNIAL/DENIM
10403794,608000000000,1198762230,4/29/2016,9/19/2016,12.72,1,12.72,1,12.72,"27,59,912",READY TO WEAR,MILLENNIAL/DENIM
10403794,608000000000,1200668933,05/07/2016,5/23/2016,14.99,5,74.95,5,74.95,"27,59,912",READY TO WEAR,MILLENNIAL/DENIM
14228161,888000000000,1223497545,08/11/2016,10/02/2016,12.32,1,12.32,1,12.32,"26,06,669",CENTER CORE,WOMENS SHOES
14228161,888000000000,1222896060,08/11/2016,8/20/2016,14.49,1,14.49,1,14.49,"26,06,669",CENTER CORE,WOMENS SHOES
15165462,705000000000,1190836242,3/26/2016,04/04/2016,7.19,1,7.19,1,7.19,"26,07,800",READY TO WEAR,MILLENNIAL/DENIM
15165462,705000000000,1191038651,3/27/2016,04/04/2016,6.99,1,6.99,1,6.99,"26,07,800",READY TO WEAR,MILLENNIAL/DENIM
11423408,773000000000,1262368875,10/16/2016,,127.49,1,127.49,,,"28,83,559",MENS & KIDS,TOTAL MENS
11423408,773000000000,1266735708,10/22/2016,11/23/2016,127.99,1,127.99,1,127.99,"28,83,559",MENS & KIDS,TOTAL MENS
10383800,706000000000,1282782906,11/05/2016,,14.98,1,14.98,,,"28,83,805",READY TO WEAR,CASUAL RTW
10383800,706000000000,1345999989,12/16/2016,,11.99,1,11.99,,,"28,83,805",READY TO WEAR,CASUAL RTW
11754127,782000000000,1220095635,08/05/2016,8/19/2016,32.79,1,32.79,1,32.79,"27,65,424",READY TO WEAR,CLASSIFICATIONS
11754127,782000000000,KS16980912376,8/19/2016,,24.59,1,24.59,,,"27,65,424",READY TO WEAR,CLASSIFICATIONS
10020067,890000000000,1280872344,11/01/2016,12/09/2016,15.3,1,15.3,1,15.3,"26,50,003",CENTER CORE,HANDBAGS & ACCESSORIES
10020067,890000000000,1281821691,11/05/2016,,15.3,1,15.3,,,"26,50,003",CENTER CORE,HANDBAGS & ACCESSORIES
10317497,706000000000,1184646605,2/19/2016,3/29/2016,49.99,1,49.99,1,49.99,"26,65,318",READY TO WEAR,SPECIAL SIZES
10317497,706000000000,1190135742,3/22/2016,,34.99,1,34.99,,,"26,65,318",READY TO WEAR,SPECIAL SIZES
11143211,722000000000,1211923063,7/16/2016,,39.99,1,39.99,,,"26,66,474",READY TO WEAR,MILLENNIAL/DENIM
11143211,722000000000,1225406820,8/18/2016,,31.99,1,31.99,,,"26,66,474",READY TO WEAR,MILLENNIAL/DENIM
11400735,706000000000,1202819899,5/20/2016,,5.53,1,5.53,,,"26,67,157",HOME,SOFT HOME
10863567,706000000000,1199681165,05/03/2016,5/28/2016,7.5,2,15,2,15,"26,67,157",HOME,SOFT HOME
10863567,706000000000,1199618259,05/02/2016,05/08/2016,7.5,2,15,2,15,"26,67,157",HOME,SOFT HOME
11400735,706000000000,1190002824,3/23/2016,,7.19,1,7.19,,,"26,67,157",HOME,SOFT HOME
15034651,706000000000,1213230093,7/20/2016,,14.99,1,14.99,,,"24,57,047",READY TO WEAR,SPECIAL SIZES
15034651,706000000000,1216278807,7/27/2016,,11.99,1,11.99,,,"24,57,047",READY TO WEAR,SPECIAL SIZES
11012462,11527084411,1235964678,09/05/2016,09/10/2016,17.59,1,17.59,1,17.59,"26,52,636",MENS & KIDS,TOTAL MENS
11012462,11527084411,1207712029,6/17/2016,6/25/2016,39,1,39,1,39,"26,52,636",MENS & KIDS,TOTAL MENS
15154327,646000000000,1203818896,5/28/2016,,44.99,1,44.99,,,"26,32,016",READY TO WEAR,CASUAL RTW
15154327,646000000000,1204833277,06/01/2016,,44.99,1,44.99,,,"26,32,016",READY TO WEAR,CASUAL RTW
10366487,888000000000,GM16220624548,12/12/2016,,15.94,1,15.94,,,"27,70,746",MENS & KIDS,TOTAL MENS
